CWK2	3m 00ch	4m 40ch	NW8011
CWK3	4m 40ch	10m 46ch	NW8011
CWL1	20m 01ch	20m 12ch	GW910
CWL2	0m 00ch	59m 14ch	GW910
CWR	0m 43ch	0m 73ch	GW628
CWS	10m 66ch	11m 04ch	LN800
CYA	13m 72ch	15m 08ch	GW819
CYC	167m 55ch	168m 32ch	NW9003
CYD	0m 00ch	1m 36ch	SO118
DAC	173m 50ch	179m 26ch	GW606
DAC	179m 26ch	183m 79ch	GW608
DAC	183m 79ch	199m 39ch	GW609
DAC	220m 00ch	227m 22ch	GW637
DAE1	0m 00ch	8m 29ch	LN678
DAE2	8m 29ch	14m 47ch	LN678
DAE3	0m 00ch	15m 79ch	LN678
DAP	0m 00ch	0m 76ch	NW4041
DBP1	0m 00ch	23m 30ch	LN3501
DBP1	23m 30ch	29m 39ch	MD501
DBP2	29m 39ch	33m 23ch	MD501
DBP3	34m 43ch	41m 59ch	MD501
DBP3	31m 69ch	34m 43ch	MD555
DCF	32m 53ch	34m 05ch	LN126
DCL	53m 12ch	75m 00ch	GW200
DCL	75m 00ch	126m 59ch	MD401
DCL	126m 59ch	132m 47ch	MD435
DEC	52m 69ch	53m 71ch	GW240
DEX	123m 72ch	124m 28ch	LN3645
DFN	53m 06ch	53m 36ch	SC199
DHF	0m 68ch	1m 71ch	MD735
DHF	0m 68ch	1m 71ch	MD736
DJH	11m 09ch	34m 66ch	NW7013
DJO1	4m 10ch	5m 28ch	NW5013
DJO2	0m 53ch	1m 24ch	NW5013
DJP	78m 60ch	132m 70ch	GW734
DJW	132m 79ch	142m 04ch	LN3243
DMY	34m 54ch	39m 03ch	SC113
DOC	0m 00ch	0m 22ch	EA1270
DOL1	156m 28ch	175m 32ch	LN836
DOL2	175m 32ch	185m 70ch	LN836
DOW	0m 03ch	33m 34ch	LN752
DPJ	4m 73ch	5m 42ch	MD370
DRA1	0m 00ch	4m 40ch	LN896
DRA2	4m 40ch	6m 23ch	LN896
DRS1	0m 00ch	0m 14ch	LN864
DRS2	0m 14ch	0m 27ch	LN864
DSD	0m 72ch	1m 05ch	NW5017
DSE	14m 75ch	16m 19ch	NW1021
DSE	1m 57ch	30m 37ch	NW2015
DSE	30m 37ch	31m 12ch	NW6007
DSN1	0m 29ch	8m 58ch	LN631
DSN2	10m 13ch	21m 72ch	LN632
DSN3	22m 16ch	27m 57ch	LN632
DUY	153m 69ch	155m 34ch	LN101
DWC	0m 00ch	0m 33ch	GW250
DWS	0m 00ch	0m 60ch	LN808
DWW1	1m 52ch	2m 22ch	EA1320
DWW2	1m 11ch	3m 74ch formerly 8m 57ch	EA1320
EBW	14m 20ch	19m 67ch	GW770
ECA1	73m 17ch	73m 48ch	SC003
ECA2	74m 10ch	99m 01ch	SC003
ECA3	99m 01ch	100m 41ch	SC003
ECM1	0m 00ch	160m 16ch	LN101
ECM2	160m 16ch	169m 16ch	LN600
ECM3	169m 16ch	182m 79ch	LN600
ECM4	182m 79ch	188m 40ch	LN600
ECM5	0m 00ch	80m 05ch	LN600
ECM6	80m 05ch	80m 16ch	LN600
ECM7	0m 00ch	69m 67ch	LN600
ECM8	0m 21ch	54m 50ch	SC147
ECM9	0m 00ch	0m 21ch	SC147
ECN1	0m 00ch	0m 14ch	SC171
ECN2	0m 14ch	58m 69ch	SC171
ECN2	58m 69ch	59m 77ch	SC191
ECN3	0m 21ch	17m 17ch	SC191
ECN4	17m 55ch	33m 26ch	SC191
ECN5	203m 11ch	241m 08ch	SC191
ECR	73m 35ch	80m 35ch	SW130
EDE	11m 03ch	11m 46ch	NW9907
EEE	186m 74ch	187m 15ch	NW2021
EGM1	0m 00ch	44m 73ch	SC107
EGM2	44m 73ch	46m 02ch	SC107
EGM3	0m 15ch	1m 19ch	SC107
EGM4	0m 00ch	0m 15ch	SC107
EGS1	0m 00ch	3m 63ch	SC011
EGS2	0m 40ch	1m 24ch	SC011
EGS2	1m 24ch	23m 11ch	SC007
EJM	7m 08ch	20m 46ch	LN694
EJN	0m 00ch	3m 65ch	NW3023
EKE	0m 40ch	7m 60ch	SC045
ELL1	0m 11ch	6m 08ch	EA1325 to 24 June 2022
ELL1	0m 11ch	6m 08ch	SO511 from 25 June 2022
ELL2	5m 21ch	5m 78ch	EA1325 to 24 June 2022
ELL2	5m 21ch	5m 78ch	SO511 from 25 June 2022
ELL3	4m 66ch	5m 51ch	EA1327 to 24 June 2022
ELL3	4m 66ch	5m 51ch	SO681 from 25 June 2022
ELL4	2m 23ch	2m 32ch	EA1327 to 24 June 2022
ELL4	2m 23ch	2m 32ch	SO681 from 25 June 2022
ELL5	2m 17ch	3m 66ch	EA1325
ELN	195m 20ch	195m 53ch	LN872
ELY	0m 00ch	0m 47ch	GW873
EMP	98m 40ch	100m 66ch	LN135
EMP	71m 63ch	98m 40ch	EA1560
EMT	0m 00ch	9m 32ch	GW611
ENT	9m 20ch	10m 55ch	EA1170
ERB	0m 00ch	2m 34ch	GW980
ESB	0m 11ch	5m 72ch	GW580
ESK	69m 41ch	116m 27ch	EA1430
ETC	95m 06ch	96m 09ch	NW4027
ETF	73m 42ch	84m 10ch	SW135
ETN	71m 67ch	123m 00ch	EA1580
EUB	0m 00ch	3m 07ch	GW720
EWC	0m 00ch	1m 00ch	EA1550
EXR	0m 00ch	0m 44ch	GW613
EXR	0m 00ch	0m 44ch	GW6135
FAL1	301m 25ch	307m 53ch	GW680
FAL2	307m 53ch	309m 24ch	GW680
FAL3	309m 25ch	312m 51ch	GW680
FCO	12m 15ch	25m 64ch	NW7007
FDM	77m 26ch	77m 76ch	SO130
FDM	52m 07ch	77m 26ch	SO160
FEC	111m 79ch	113m 01ch	GW450
FED	83m 57ch	85m 54ch	EA1460
FEL	72m 23ch	84m 30ch	EA1440
FEP	19m 70ch	20m 75ch	LN672
FFH1	70m 74ch	71m 22ch	SO230
FFH2	71m 08ch	72m 25ch	SO230
FGW	0m 00ch	0m 31ch	EA1030
FHR1	0m 00ch	0m 64ch	NW7009
FHR2	0m 64ch	1m 42ch	NW7009
FHR3	1m 42ch	2m 12ch	NW7009
FHR4	2m 12ch	10m 50ch	NW7009
FHR5	10m 50ch	21m 03ch	NW7009
FHR6	21m 03ch	30m 54ch	NW7009
FJH	0m 00ch	1m 54ch	NW3021
FJJ	90m 43ch/40m 38ch	91m 09ch/41m 04ch	SW142
FJL	0m 00ch	0m 31ch	SO632
FJS	200.091km	206.012km	SO460
FKW	2m 27ch	2m 71ch	LN888
FLL1	0m 09ch	0m 41ch	SO250
FLL2	1m 58ch	2m 29ch	SO250
FLL2	1m 58ch	2m 29ch	SW222
FLL3	2m 29ch	2m 58ch	SW222
FNS1	0m 00ch	0m 20ch	GW572
FNS2	0m 20ch	2m 38ch	GW572
FOM	0m 00ch	1m 60ch	LN130
FOR	0m 00ch	1m 12ch	GW871
FOY	282m 16ch	282m 46ch	GW661
FRA	114m 44ch	116m 42ch	GW500
FRY	244m 60ch	245m 39ch	GW628
FSH	287m 52ch	289m 05ch	GW900
FSS1	0m 00ch	7m 08ch	EA1380
